bioguide_id,first_name,last_name,birth_date
A000355,Spencer,Abraham,1952-06-12
A000356,John,Ashcroft,1942-05-09
A000357,Thomas,Allen,1945-04-16
A000358,W.,Akin,1947-07-05
A000359,Aníbal,Acevedo Vilá,1962-02-13
A000360,Lamar,Alexander,1940-07-03
A000361,Rodney,Alexander,1946-12-05
A000362,Jason,Altmire,1968-03-07
A000363,Michael,Arcuri,1959-06-11
A000364,John,Adler,1959-08-23
A000365,Steve,Austria,1958-10-12
A000366,Sandra,Adams,1956-12-14
A000367,Justin,Amash,1980-04-18
A000368,Kelly,Ayotte,1968-06-27
A000369,Mark,Amodei,1958-06-12
A000370,Alma,Adams,1946-05-27
A000371,Peter,Aguilar,1979-06-19
A000372,Rick,Allen,1951-11-07
A000373,John,Ashford,1949-11-10
A000374,Ralph,Abraham,1954-09-16
A000375,Jodey,Arrington,1972-03-09
A000376,Colin,Allred,1983-04-15
A000377,Kelly,Armstrong,1976-10-08
A000378,Cynthia,Axne,1965-04-20
A000379,Mark,Alford,1963-10-04
A000380,Gabe,Amo,1987-12-11
B000008,James,Bacchus,1949-06-21
B000013,Spencer,Bachus,1947-12-28
B000024,Robert,Badham,1929-06-09
B000025,Herman,Badillo,1929-08-21
B000028,Henry,Baesler,1941-07-09
B000029,Louis,Bafalis,1929-09-28
B000035,Cleveland,Bailey,1886-07-15
B000037,Donald,Bailey,1945-07-21
B000047,R.,Bailey,1940-07-30
B000062,Howard,Baker,1902-01-12
B000063,Howard,Baker,1925-11-15
B000064,Irene,Baker,1901-11-17
B000069,LaMar,Baker,1915-12-29
B000072,Richard,Baker,1948-05-22
B000078,William,Baker,1940-06-14
B000081,John,Baldacci,1955-01-30
B000083,Alvin,Baldus,1926-04-27
B000092,John,Baldwin,1915-06-28
B000104,Cass,Ballenger,1926-12-06
B000108,Bert,Bandstra,1922-01-25
B000134,James,Barcia,1952-02-25
B000139,Graham,Barden,1896-09-25
B000141,Walter,Baring,1911-09-09
B000151,Thomas,Barlow,1940-08-07
B000153,Druie,Barnard,1922-03-20
B000160,Michael,Barnes,1943-09-03
B000169,Bob,Barr,1948-11-05
B000170,Joseph,Barr,1918-01-17
B000177,Thomas,Barrett,1953-12-08
B000178,William,Barrett,1896-08-14
B000179,William,Barrett,1929-02-09
B000190,Robert,Barry,1915-05-15
B000200,Dewey,Bartlett,1919-03-28
B000201,Edward,Bartlett,1904-04-20
B000204,Harry,Bartlett,1947-09-19
B000208,Roscoe,Bartlett,1926-06-03
B000213,Joe,Barton,1949-09-15
B000220,Charles,Bass,1952-01-08
B000222,Perkins,Bass,1912-10-06
B000223,Ross,Bass,1918-03-17
B000229,Herbert,Bateman,1928-08-07
B000236,Jim,Bates,1941-07-21
B000239,William,Bates,1917-04-26
B000241,James,Battin,1925-02-13
B000243,Max,Baucus,1941-12-11
B000244,Robert,Bauman,1937-04-04
B000245,Albert,Baumhart,1908-06-15
B000254,Birch,Bayh,1928-01-22
B000271,James,Beall,1894-06-05
B000272,John,Beall,1927-06-19
B000279,Edward,Beard,1940-01-20
B000280,Robin,Beard,1939-08-21
B000287,Xavier,Becerra,1958-01-26
B000292,Frank,Becker,1899-08-27
B000296,Lindley,Beckworth,1913-06-30
B000298,Berkley,Bedell,1921-03-05
B000310,Ralph,Beermann,1912-08-13
B000315,Nicholas,Begich,1932-04-06
B000318,Anthony,Beilenson,1932-10-26
B000323,Page,Belcher,1899-04-21
B000330,Alphonzo,Bell,1914-09-19
B000351,Henry,Bellmon,1921-09-03
B000358,Cleveland,Benedict,1935-03-21
B000362,Jaime,Benítez,1908-10-29
B000363,Adam,Benjamin,1935-08-06
B000371,Charles,Bennett,1910-12-02
B000377,John,Bennett,1904-01-10
B000382,Robert,Bennett,1933-09-18
B000384,Wallace,Bennett,1898-11-13
B000391,Alvin,Bentley,1918-08-30
B000392,Helen,Bentley,1923-11-28
B000400,Kenneth,Bentsen,1959-06-03
B000401,Lloyd,Bentsen,1921-02-11
B000403,Douglas,Bereuter,1939-10-06
B000408,Robert,Bergland,1928-07-22
B000410,Howard,Berman,1941-04-15
B000416,Ellis,Berry,1902-10-06
B000420,Robert,Berry,1942-08-27
B000422,Edwin,Bethune,1935-12-19
B000426,Jackson,Betts,1904-05-26
B000431,Tom,Bevill,1921-03-27
B000432,Mario,Biaggi,1917-10-26
B000436,Alan,Bible,1909-11-20
B000444,Joseph,Biden,1942-11-20
B000451,Edward,Biester,1931-01-05
B000461,Brian,Bilbray,1951-01-28
B000462,James,Bilbray,1938-05-19
B000463,Michael,Bilirakis,1930-07-16
B000468,Jesse,Bingaman,1943-10-03
B000472,Jonathan,Bingham,1914-04-24
B000490,Sanford,Bishop,1947-02-04
B000506,Benjamin,Blackburn,1927-02-14
B000517,Lucien,Blackwell,1931-08-01
B000518,Rod,Blagojevich,1956-12-10
B000536,William,Blakley,1898-11-17
B000538,James,Blanchard,1942-08-08
B000548,Leonard,Blanton,1930-04-10
B000550,John,Blatnik,1911-08-17
B000551,Ben,Blaz,1928-02-14
B000556,Thomas,Bliley,1932-01-28
B000561,Iris,Blitch,1912-04-25
B000567,Michael,Blouin,1945-11-07
B000574,Earl,Blumenauer,1948-08-16
B000575,Roy,Blunt,1950-01-10
B000576,Peter,Blute,1956-01-28
B000586,Sherwood,Boehlert,1936-09-28
B000589,John,Boehner,1949-11-17
B000592,Corinne,Boggs,1916-03-13
B000593,James,Boggs,1909-05-15
B000594,Thomas,Boggs,1914-02-15
B000600,Edward,Boland,1911-10-01
B000605,Richard,Bolling,1916-05-17
B000607,Frances,Bolton,1885-03-29
B000608,Oliver,Bolton,1917-02-22
B000611,Christopher,Bond,1939-03-06
B000615,William,Boner,1945-02-14
B000617,Henry,Bonilla,1954-01-02
B000619,David,Bonior,1945-06-06
B000620,Don,Bonker,1937-03-07
B000621,Herbert,Bonner,1891-05-16
B000622,Sonny,Bono,1935-02-16
B000639,David,Boren,1941-04-21
B000644,Robert,Borski,1948-10-20
B000646,Albert,Bosch,1908-10-30
B000647,Rudolph,Boschwitz,1930-11-07
B000648,Douglas,Bosco,1946-07-28
B000652,Leonard,Boswell,1934-01-10
B000656,Joseph,Bottum,1903-08-07
B000657,Frederick,Boucher,1946-08-01
B000666,Eldon,Boulter,1942-02-23
B000668,Cliff,Bentz,1952-01-12
B000676,Frank,Bow,1901-02-20
B000682,David,Bowen,1932-10-21
B000699,Chester,Bowles,1901-04-05
B000711,Barbara,Boxer,1940-11-11
B000716,F.,Boyd,1945-06-06
B000725,Frank,Boykin,1885-02-21
B000727,Charles,Boyle,1907-08-13
B000736,John,Brademas,1927-03-02
B000740,Stephanie,Bice,1973-11-11
B000755,Kevin,Brady,1955-04-11
B000756,Nicholas,Brady,1930-04-11
B000771,Frank,Brasco,1932-10-15
B000778,William,Bray,1903-06-17
B000780,John,Breaux,1944-03-01
B000788,John,Breckinridge,1913-11-29
B000791,James,Breeding,1901-09-28
B000798,Joseph,Brennan,1934-11-02
B000813,Daniel,Brewster,1923-11-23
B000817,William,Brewster,1941-11-08
B000823,Henry,Bridges,1898-09-09
B000825,Lauren,Boebert,1986-12-19
B000839,Jack,Brinkley,1930-12-22
B000845,Charles,Britt,1942-06-29
B000849,Lawrence,Brock,1906-08-16
B000851,William,Brock,1930-11-23
B000862,William,Brodhead,1941-09-12
B000867,James,Bromwell,1920-03-26
B000871,Edward,Brooke,1919-10-26
B000880,Jack,Brooks,1922-12-18
B000884,Overton,Brooks,1897-12-21
B000890,William,Broomfield,1922-04-28
B000893,Donald,Brotzman,1922-06-28
B000897,John,Browder,1943-01-15
B000908,Charles,Brown,1920-10-22
B000909,Clarence,Brown,1895-07-14
B000910,Clarence,Brown,1927-06-18
B000911,Corrine,Brown,1946-11-11
B000917,Garry,Brown,1923-08-12
B000918,George,Brown,1920-03-06
B000919,George,Brown,1940-02-12
B000940,Paul,Brown,1880-03-31
B000944,Sherrod,Brown,1952-11-09
B000953,Sam,Brownback,1956-09-12
B000966,James,Broyhill,1927-08-19
B000967,Joel,Broyhill,1919-11-04
B000969,Donald,Bruce,1921-04-27
B000971,Terry,Bruce,1944-03-25
B000982,Clarence,Brunsdale,1891-07-09
B000993,Richard,Bryan,1937-07-16
B000996,Ed,Bryant,1948-09-07
B000997,John,Bryant,1947-02-22
B001008,John,Buchanan,1928-03-19
B001024,Charles,Buckley,1890-06-23
B001026,James,Buckley,1923-03-09
B001035,Hamer,Budge,1910-11-21
B001036,John,Buechner,1940-06-04
B001057,Dale,Bumpers,1925-08-12
B001063,Jim,Bunn,1956-12-12
B001066,James,Bunning,1931-10-23
B001076,Jocelyn,Burdick,1922-02-06
B001077,Quentin,Burdick,1908-06-19
B001080,Clair,Burgener,1921-12-05
B001090,Frank,Burke,1920-06-01
B001091,J.,Burke,1911-01-14
B001092,James,Burke,1910-03-30
B001102,Yvonne,Burke,1932-10-05
B001104,Everett,Burkhalter,1963-01-03
B001111,Omar,Burleson,1906-03-19
B001113,Bill,Burlison,1931-03-15
B001126,Conrad,Burns,1935-01-25
B001127,John,Burns,1909-03-30
B001135,Richard,Burr,1955-11-30
B001149,Danny,Burton,1938-06-21
B001153,John,Burton,1932-12-15
B001155,Laurence,Burton,1926-10-30
B001156,Phillip,Burton,1926-06-01
B001158,Sala,Burton,1925-04-01
B001165,Alvin,Bush,1893-06-04
B001166,George,Bush,1924-06-12
B001167,Prescott,Bush,1895-05-15
B001172,Albert,Bustamante,1935-04-08
B001180,John,Butler,1897-07-21
B001182,Manley,Butler,1925-06-02
B001201,Daniel,Button,1917-11-01
B001203,Stephen,Buyer,1958-11-26
B001208,Harry,Byrd,1887-06-10
B001209,Harry,Byrd,1914-12-20
B001210,Robert,Byrd,1917-11-20
B001212,James,Byrne,1906-06-22
B001213,Leslie,Byrne,1946-10-27
B001216,John,Byrnes,1913-06-12
B001220,Beverly,Byron,1932-07-27
B001221,Goodloe,Byron,1929-06-22
B001223,Jamaal,Bowman,1976-04-01
B001224,Cori,Bush,1976-07-21
B001225,William,Bradley,1943-07-28
B001226,Peter,Barca,1955-08-07
B001227,Robert,Brady,1945-04-07
B001228,Mary,Bono,1961-10-24
B001229,Brian,Baird,1956-03-07
B001230,Tammy,Baldwin,1962-02-11
B001231,Shelley,Berkley,1951-01-20
B001232,Judy,Biggert,1937-08-15
B001233,Evan,Bayh,1955-12-26
B001234,Joe,Baca,1947-01-23
B001235,Henry,Brown,1935-12-20
B001236,John,Boozman,1950-12-10
B001237,Dean,Barkley,1950-08-31
B001238,Frank,Ballance,1942-02-15
B001239,James,Barrett,1961-02-14
B001240,Bob,Beauprez,1948-09-22
B001241,Chris,Bell,1959-11-23
B001242,Timothy,Bishop,1950-06-01
B001243,Marsha,Blackburn,1952-06-06
B001244,Josiah,"Bonner, Jr.",1959-11-19
B001245,Madeleine,Bordallo,1933-05-31
B001246,Jeb,Bradley,1952-10-20
B001247,Virginia,Brown-Waite,1943-10-05
B001248,Michael,Burgess,1950-12-23
B001249,Max,Burns,1948-11-08
B001250,Robert,Bishop,1951-07-13
B001251,George,Butterfield,1947-04-27
B001252,John,Barrow,1955-10-31
B001253,Melissa,Bean,1962-01-22
B001254,Daniel,Boren,1973-08-02
B001255,Charles,Boustany,1956-02-21
B001256,Michele,Bachmann,1956-04-06
B001257,Gus,Bilirakis,1963-02-08
B001258,Nancy,Boyda,1955-08-02
B001259,Bruce,Braley,1957-10-30
B001260,Vernon,Buchanan,1951-05-08
B001261,John,Barrasso,1952-07-21
B001262,Paul,Broun,1946-05-14
B001263,John,Boccieri,1969-10-05
B001264,Bobby,Bright,1952-07-21
B001265,Mark,Begich,1962-03-30
B001266,Roland,Burris,1937-08-03
B001267,Michael,Bennet,1964-11-28
B001268,Scott,Brown,1959-09-12
B001269,Lou,Barletta,1956-01-28
B001270,Karen,Bass,1953-10-03
B001271,Dan,Benishek,1952-04-20
B001272,Rick,Berg,1959-08-16
B001273,Diane,Black,1951-01-16
B001274,Mo,Brooks,1954-04-29
B001275,Larry,Bucshon,1962-03-31
B001276,Ann,Buerkle,1951-05-08
B001277,Richard,Blumenthal,1946-02-13
B001278,Suzanne,Bonamici,1954-10-14
B001279,Ron,Barber,1945-08-25
B001280,Kerry,Bentivolio,1951-10-06
B001281,Joyce,Beatty,1950-03-12
B001282,Garland,Barr,1973-07-24
B001283,Jim,Bridenstine,1975-06-15
B001284,Susan,Brooks,1960-08-25
B001285,Julia,Brownley,1952-08-28
B001286,Cheri,Bustos,1961-10-17
B001287,Ami,Bera,1965-03-02
B001288,Cory,Booker,1969-04-27
B001289,Bradley,Byrne,1955-02-16
B001290,David,Brat,1964-07-27
B001291,Brian,Babin,1948-03-23
B001292,Donald,Beyer,1950-06-20
B001293,Michael,Bishop,1967-03-18
B001294,Rod,Blum,1955-04-26
B001295,Mike,Bost,1960-12-30
B001296,Brendan,Boyle,1977-02-06
B001297,Kenneth,Buck,1959-02-16
B001298,Donald,Bacon,1963-08-16
B001299,James,Banks,1979-07-16
B001300,Nanette,Barragán,1976-09-15
B001301,John,Bergman,1947-02-02
B001302,Andrew,Biggs,1958-11-07
B001303,Lisa,Blunt Rochester,1962-02-10
B001304,Anthony,Brown,1961-11-21
B001305,Theodore,Budd,1971-10-21
B001306,Troy,Balderson,1962-01-16
B001307,James,Baird,1945-06-04
B001308,Anthony,Brindisi,1978-11-22
B001309,Timothy,Burchett,1964-08-25
B001310,Michael,Braun,1954-03-24
B001311,Dan,Bishop,1964-07-01
B001312,Carolyn,Bourdeaux,1970-06-03
B001313,Shontel ,Brown,1975-06-24
B001314,Aaron,Bean,1967-01-25
B001315,Nikki,Budzinski,1977-03-11
B001316,Eric,Burlison,1976-10-02
B001317,Josh,Brecheen,1979-06-19
B001318,Becca,Balint,1968-05-04
B001319,Katie,Britt,1982-02-02
B001320,Laphonza,Butler,1979-05-11
C000002,Earle,Cabell,1906-10-27
C000017,Patrick,Caffery,1932-07-06
C000019,William,Cahill,1912-06-25
C000052,Herbert,Callahan,1932-09-11
C000054,Clair,Callan,1920-03-29
C000055,Howard,Callaway,1927-04-02
C000059,Ken,Calvert,1953-06-08
C000067,Ronald,Cameron,1927-08-16
C000071,David,Camp,1953-07-09
C000073,John,Camp,1908-05-11
C000077,Ben,Campbell,1933-04-13
C000079,Carroll,Campbell,1940-07-24
C000100,Thomas,Campbell,1952-08-14
C000107,Charles,Canady,1954-06-22
C000113,Gordon,Canfield,1898-04-15
C000116,Christopher,Cannon,1950-10-20
C000117,Clarence,Cannon,1879-04-11
C000120,Howard,Cannon,1912-01-26
C000127,Maria,Cantwell,1958-10-13
C000128,Homer,Capehart,1897-06-06
C000134,Walter,Capps,1934-05-05
C000137,Bruce,Caputo,1943-08-07
C000141,Benjamin,Cardin,1943-10-05
C000143,Hugh,Carey,1919-04-11
C000153,Cliffard,Carlson,1915-12-30
C000154,Frank,Carlson,1893-01-23
C000158,Gregory,Carman,1937-01-31
C000162,Albert,Carnahan,1897-01-09
C000164,Charles,Carney,1913-04-17
C000165,William,Carney,1942-07-01
C000174,Thomas,Carper,1947-01-23
C000178,Milton,Carr,1943-03-27
C000189,John,Carroll,1901-07-30
C000191,Julia,Carson,1938-07-08
C000199,Steven,Carter,1915-10-08
C000201,Tim,Carter,1910-09-02
C000220,Clifford,Case,1904-04-16
C000221,Francis,Case,1896-12-09
C000228,Robert,Casey,1915-07-27
C000243,Michael,Castle,1939-07-02
C000261,John,Cavanaugh,1945-08-01
C000263,Elford,Cederberg,1918-03-06
C000264,Emanuel,Celler,1888-05-06
C000266,Steve,Chabot,1953-01-22
C000269,John,Chafee,1922-10-22
C000275,Charles,Chamberlain,1917-07-22
C000286,Saxby,Chambliss,1943-11-10
C000293,Rodney,Chandler,1942-07-13
C000312,Jim,Chapman,1945-03-08
C000321,William,Chappell,1922-02-03
C000322,Eugene,Chappie,1920-03-28
C000338,Dennis,Chavez,1888-04-08
C000342,Frank,Chelf,1907-09-22
C000344,Richard,Cheney,1941-01-30
C000345,Helen,Chenoweth-Hage,1938-01-27
C000346,John,Chenoweth,1897-08-17
C000356,Lawton,Chiles,1930-04-03
C000365,Robert,Chiperfield,1899-11-20
C000371,Shirley,Chisholm,1924-11-30
C000377,Jon,Christensen,1963-02-20
C000380,Donna,Christensen,1945-09-19
C000383,George,Christopher,1888-12-09
C000385,Dick,Chrysler,1942-04-29
C000388,Frank,Church,1924-07-25
C000389,Marguerite,Church,1892-09-13
C000409,Donald,Clancy,1921-07-24
C000431,Frank,Clark,1915-12-24
C000444,Joseph,Clark,1901-10-21
C000448,Richard,Clark,1928-09-14
C000462,James,Clarke,1917-06-12
C000475,Donald,Clausen,1923-04-27
C000476,Delwin,Clawson,1914-01-11
C000488,William,Clay,1931-04-30
C000494,Eva,Clayton,1934-09-16
C000503,Robert,Clement,1943-09-23
C000512,James,Cleveland,1920-06-13
C000516,Raymond,Clevenger,1926-06-06
C000523,William,Clinger,1929-04-04
C000537,James,Clyburn,1940-07-21
C000540,Merwin,Coad,1924-09-28
C000542,Daniel,Coats,1943-05-16
C000555,William,Cobey,1939-05-13
C000556,Howard,Coble,1931-03-18
C000560,Thomas,Coburn,1948-03-14
C000567,William,Cochran,1937-12-07
C000581,Tony,Coelho,1942-06-15
C000589,Frank,Coffin,1919-07-11
C000596,Jeffery,Cohelan,1914-06-24
C000598,William,Cohen,1940-08-28
C000618,Earl,Coleman,1943-05-29
C000621,Ronald,Coleman,1941-11-29
C000629,Harold,Collier,1915-12-12
C000633,Barbara-Rose,Collins,1939-04-13
C000634,Cardiss,Collins,1931-09-24
C000637,George,Collins,1925-03-05
C000638,James,Collins,1916-04-29
C000640,Michael,Collins,1944-10-15
C000645,William,Colmer,1890-02-11
C000646,Antonio,Colorado,1939-09-08
C000653,Larry,Combest,1945-03-20
C000666,Barber,Conable,1922-11-02
C000670,Gary,Condit,1948-04-21
C000682,John,Conlan,1930-09-17
C000702,William,Conover,1928-08-27
C000705,Kent,Conrad,1948-03-12
C000709,Silvio,Conte,1921-11-09
C000714,John,Conyers,1929-05-16
C000721,Marlow,Cook,1926-07-27
C000722,Merrill,Cook,1946-05-06
C000725,Robert,Cook,1920-05-19
C000735,John,Cooksey,1941-08-20
C000736,Harold,Cooley,1897-07-26
C000737,Wes,Cooley,1932-03-28
C000754,James,Cooper,1954-06-19
C000758,John,Cooper,1901-08-23
C000767,Samuel,Coppersmith,1955-05-22
C000772,Robert,Corbett,1905-08-25
C000773,Thomas,Corcoran,1939-05-23
C000775,Jorge,Córdova Díaz,1907-04-20
C000780,James,Corman,1920-10-20
C000782,Robert,Cornell,1919-12-16
C000787,David,Cornwell,1945-06-14
C000788,Baltasar,Corrada-del Río,1935-04-10
C000794,Jerry,Costello,1949-09-25
C000799,William,Cotter,1926-07-18
C000802,Norris,Cotton,1900-05-11
C000807,Robert,Coughlin,1929-04-11
C000809,James,Courter,1941-10-14
C000813,Paul,Coverdell,1939-01-20
C000823,William,Cowger,1922-01-01
C000830,Charles,Cox,1952-10-16
C000836,John,Cox,1947-07-10
C000845,James,Coyne,1946-11-17
C000846,William,Coyne,1936-08-24
C000858,Larry,Craig,1945-07-20
C000866,Nathaniel,Craley,1927-11-17
C000868,Robert,Cramer,1947-08-22
C000869,William,Cramer,1922-08-04
C000871,Daniel,Crane,1936-01-10
C000873,Philip,Crane,1930-11-03
C000877,Alan,Cranston,1914-06-19
C000880,Michael,Crapo,1951-05-20
C000903,Frank,Cremeans,1943-04-05
C000919,George,Crockett,1909-08-10
C000925,Paul,Cronin,1938-03-14
C000962,Barbara,Cubin,1946-11-30
C000979,John,Culver,1932-08-08
C000984,Elijah,Cummings,1951-01-18
C000991,Glenn,Cunningham,1912-09-10
C000992,John,Cunningham,1931-03-27
C000994,Randall,Cunningham,1941-12-08
C000997,William,Curlin,1933-11-30
C001005,Willard,Curtin,1905-11-28
C001006,Carl,Curtis,1905-03-15
C001011,Laurence,Curtis,1893-09-03
C001014,Thomas,Curtis,1911-05-14
C001034,Joseph,Cleland,1942-08-24
C001035,Susan,Collins,1952-12-07
C001036,Lois,Capps,1938-01-10
C001037,Michael,Capuano,1952-01-09
C001038,Joseph,Crowley,1962-03-16
C001039,Kat,Cammack,1988-02-16
C001040,Lincoln,Chafee,1953-03-26
C001041,Hillary,Clinton,1947-10-26
C001042,Jon,Corzine,1947-01-01
C001043,Jean,Carnahan,1933-12-20
C001044,Brad,Carson,1967-03-11
C001045,Ander,Crenshaw,1944-09-01
C001046,Eric,Cantor,1963-06-06
C001047,Shelley,Capito,1953-11-26
C001048,John,Culberson,1956-08-24
C001049,William,Clay,1956-07-27
C001050,Dennis,Cardoza,1959-03-31
C001051,John,Carter,1941-11-06
C001052,Chris,Chocola,1962-02-24
C001053,Tom,Cole,1949-04-28
C001054,Jerry,Carl,1958-06-17
C001055,Ed,Case,1952-09-27
C001056,John,Cornyn,1952-02-02
C001057,Norm,Coleman,1949-08-17
C001058,A.,Chandler,1959-09-12
C001059,Jim,Costa,1952-04-13
C001060,Russ,Carnahan,1958-07-10
C001061,Emanuel,Cleaver,1944-10-26
C001062,K.,Conaway,1948-06-11
C001063,Henry,Cuellar,1955-09-19
C001064,John,Campbell,1955-07-19
C001065,Chris,Carney,1959-03-02
C001066,Kathy,Castor,1966-08-20
C001067,Yvette,Clarke,1964-11-21
C001068,Stephen,Cohen,1949-05-24
C001069,Joe,Courtney,1953-04-06
C001070,Robert,Casey,1960-04-13
C001071,Robert,Corker,1952-08-24
C001072,André,Carson,1974-10-16
C001073,Donald,Cazayoux,2008-05-03
C001074,Travis,Childers,1958-03-29
C001075,Bill,Cassidy,1957-09-28
C001076,Jason,Chaffetz,1967-03-26
C001077,Mike,Coffman,1955-03-19
C001078,Gerald,Connolly,1950-03-30
C001079,Anh,Cao,1967-03-13
C001080,Judy,Chu,1953-07-07
C001081,Mark,Critz,1962-01-05
C001082,Francisco,Canseco,1949-07-30
C001083,John,Carney,1956-05-20
C001084,David,Cicilline,1961-07-15
C001085,Hansen,Clarke,1957-03-02
C001086,Chip,Cravaack,1959-12-29
C001087,Rick,Crawford,1966-01-22
C001088,Christopher,Coons,1963-09-09
C001089,David,Curson,1948-11-04
C001090,Matt,Cartwright,1961-05-01
C001091,Joaquin,Castro,1974-09-16
C001092,Chris,Collins,1950-05-20
C001093,Doug,Collins,1966-08-16
C001094,Paul,Cook,1943-03-03
C001095,Thomas,Cotton,1977-05-13
C001096,Kevin,Cramer,1961-01-21
C001097,Tony,Cárdenas,1963-03-31
C001098,Rafael,Cruz,1970-12-22
C001099,William,Cowan,1969-04-04
C001100,Jeffrey,Chiesa,1965-06-22
C001101,Katherine,Clark,1963-07-17
C001102,Curt,Clawson,1959-09-28
C001103,Buddy,Carter,1957-09-06
C001104,Madison,Cawthorn,1995-08-01
C001105,Barbara,Comstock,1959-06-30
C001106,Ryan,Costello,1976-09-07
C001107,Carlos,Curbelo,1980-03-01
C001108,James,Comer,1972-08-19
C001109,Liz,Cheney,1966-07-28
C001110,Jose,Correa,1958-01-24
C001111,Charlie,Crist,1956-07-24
C001112,Salud,Carbajal,1964-11-18
C001113,Catherine,Cortez Masto,1964-03-29
C001114,John,Curtis,1960-05-10
C001115,Michael,Cloud,1975-05-13
C001116,Andrew,Clyde,1963-11-22
C001117,Sean,Casten,1971-11-23
C001118,Benjamin,Cline,1972-02-29
C001119,Angela,Craig,1972-02-14
C001120,Daniel,Crenshaw,1984-03-14
C001121,Jason,Crow,1979-03-15
C001122,Joe,Cunningham,1982-05-26
C001123,Gilbert,Cisneros,1971-02-12
C001124,TJ,Cox,1963-07-18
C001125,Troy,Carter,1963-10-26
C001126,Mike,Carey,1971-03-13
C001127,Sheila,Cherfilus-McCormick,1979-01-25
C001128,Connie,Conway,1950-09-25
C001129,Mike,Collins,1967-07-02
C001130,Jasmine,Crockett,1981-03-29
C001131,Greg,Casar,1989-05-04
C001132,Eli,Crane,1980-01-03
C001133,Juan,Ciscomani,1982-08-31
C001134,Yadira,Caraveo,1980-12-23
C001135,Lori,Chavez-DeRemer,1968-04-07
D000001,Emilio,Daddario,1918-09-24
D000004,Paul,Dague,1898-05-19
D000017,Norman,D'Amours,1937-10-14
D000018,Alfonse,D'Amato,1937-08-01
D000030,John,Danforth,1936-09-05
D000032,Byron,Donalds,1978-10-28
D000037,Robert,Daniel,1936-03-17
D000038,Wilbur,Daniel,1914-05-12
D000041,Dominick,Daniels,1908-10-18
D000043,George,Danielson,1915-02-20
D000044,William,Dannemeyer,1929-09-22
D000046,Patsy,Danner,1934-01-13
D000051,George,Darden,1943-11-22
D000064,Thomas,Daschle,1947-12-09
D000065,Harold,Daub,1941-04-23
D000094,Clifford,Davis,1897-11-18
D000096,Danny,Davis,1941-09-06
D000102,Glenn,Davis,1914-10-28
D000106,Jack,Davis,1935-09-06
D000109,James,Davis,1895-05-17
D000114,Jim,Davis,1957-10-11
D000122,John,Davis,1916-09-12
D000125,Mendel,Davis,1942-10-23
D000131,Robert,Davis,1932-07-31
D000136,Thomas,Davis,1949-01-05
D000158,William,Dawson,1886-04-26
D000168,John,Deal,1942-08-25
D000183,Huey,Deckard,1942-03-07
D000185,Dennis,Deconcini,1937-05-08
